Название;Цена;"Ссылка на страницу товара";"Ссылка на картинку товара";"Категория товара"
"Универсальная коляска Peg-Perego Pliko Switch Easy Drive Modular (3 в 1)";995;http://babyexpert.by/product/peg-perego-pliko-switch-easy-drive-modular-76;http://babyexpert.by/assets/images/catalog/big/universalnaya_kolyaska_peg-perego_pliko_switch_easy_drive_modular__3_v_1__cvet_nav.denim.jpeg;Коляски
"Прогулочная коляска Peg-Perego Aria";250;http://babyexpert.by/product/peg-perego-aria;http://babyexpert.by/assets/images/catalog/big/progulochnaya_kolyaska_peg-perego_aria_cvet_oceano.jpeg;Коляски
" Peg-Perego Zero 3";0;http://babyexpert.by/product/peg-perego-zero-3;http://babyexpert.by/assets/images/catalog/big/;
"Стул для кормления Peg-Perego Zero 3";207;http://babyexpert.by/product/peg-perego-zero-3;http://babyexpert.by/assets/images/catalog/big/_peg-perego_zero_3_cvet_mela_verde.jpeg;Стульчики
"Стул для кормления Peg-Perego Prima Pappa Diner";215;http://babyexpert.by/product/peg-perego-prima-pappa-diner;http://babyexpert.by/assets/images/catalog/big/_peg-perego_prima_pappa_diner_cvet_savana_rosa.jpeg;Стульчики
"Стул для кормления Peg-Perego Prima Pappa Best";285;http://babyexpert.by/product/peg-perego-prima-pappa-best;http://babyexpert.by/assets/images/catalog/big/stul_dlya_kormleniya_peg-perego_prima_pappa_best_cvet_bordeaux.jpeg;Стульчики
"Стул для кормления Peg-Perego Tatamia";400;http://babyexpert.by/product/peg-perego-tatamia;http://babyexpert.by/assets/images/catalog/big/stul_dlya_kormleniya_peg-perego_tatamia_cvet_cacao.jpeg;Стульчики
"Стул для кормления Peg-Perego Siesta";300;http://babyexpert.by/product/peg-perego-siesta;http://babyexpert.by/assets/images/catalog/big/_peg-perego_siesta_cvet_orange.jpeg;Стульчики
"Детское автокресло Peg-Perego Primo Viaggoi Tri-Fix";236;http://babyexpert.by/product/peg-perego-primo-viaggoi-tri-fix;http://babyexpert.by/assets/images/catalog/big/detskoe_avtokreslo_peg-perego_primo_viaggoi_tri-fix_cvet_aplicot.jpeg;Автокресла
"Детское автокресло Peg-Perego Viaggio1 Duo-Fix";297;http://babyexpert.by/product/peg-perego-viaggio1-duo-fix;http://babyexpert.by/assets/images/catalog/big/detskoe_avtokreslo_peg-perego_viaggio1_duo-fix_cvet_cacao.jpeg;Автокресла
"Детское автокресло Peg-Perego Prima Viaggio 0+/1 Convertibile";292;http://babyexpert.by/product/peg-perego-prima-viaggio-01;http://babyexpert.by/assets/images/catalog/big/detskoe_avtokreslo_peg-perego_prima_viaggio_0_1_convertibile_cvet_red.jpeg;Автокресла
