Описание;Название;Цена;Валюта;Наличие;"Ссылка на страницу товара"
Автокресла;"STM (Recaro) Starlight SP";300;y.e.;"Наличие уточняйте";http://127.0.0.1/product/stm-recaro-starlight-sp
Коляски;"FD Design (ABC Design) Mamba (2 в 1)";510;y.e.;"Наличие уточняйте";http://127.0.0.1/product/abc-design-mamba
Коляски;"FD Design (ABC Design) Giro";210;y.e.;"Наличие уточняйте";http://127.0.0.1/product/abc-design-giro
Коляски;"FD Design (ABC Design) 3-tec (2 в 1)";475;y.e.;"Наличие уточняйте";http://127.0.0.1/product/abc-design-3-tec-2-v-1
Коляски;"FD Design (ABC Design) Zoom";830;y.e.;"Наличие уточняйте";http://127.0.0.1/product/abc-design-zoom
Коляски;"FD Design (ABC Design) Condor 4S (2 в 1)";550;y.e.;"Наличие уточняйте";http://127.0.0.1/product/fd-design-abc-desing-condor-4s
Коляски;"FD Design (ABC Design) Cobra (2 в 1)";500;y.e.;"Наличие уточняйте";http://127.0.0.1/product/fd-design-abc-design-cobra-2-v-1
Манежи;"FD Design (ABC Design) Moonlight";100;y.e.;"Нет в наличии";http://127.0.0.1/product/fd-design-abc-design-moonlight
Стульчики;"FD Design (ABC Design) High Tower";155;y.e.;"Наличие уточняйте";http://127.0.0.1/product/fd-design-abc-design-high-tower
Ходунки;"FD Design (ABC Design) Twister";60;y.e.;"Наличие уточняйте";http://127.0.0.1/product/detskie-prigunki-fd-design-abc-design-twister
Шезлонги;"FD Design (ABC Design) Classic Bouncer";120;y.e.;"Наличие уточняйте";http://127.0.0.1/product/fd-design-abc-design-classic-bouncer
Коляски;"Baby Design Mini";110;y.e.;"Наличие уточняйте";http://127.0.0.1/product/baby-design-mini
Коляски;"Baby Design Walker";145;y.e.;"Наличие уточняйте";http://127.0.0.1/product/baby-design-walker
Коляски;"Baby Design Travel";107;y.e.;"Наличие уточняйте";http://127.0.0.1/product/baby-design-travel
Коляски;"Baby Design Trip";79;y.e.;"Наличие уточняйте";http://127.0.0.1/product/baby-design-trip
Коляски;"Baby Design Sprint";155;y.e.;"Наличие уточняйте";http://127.0.0.1/product/baby-design-sprint
Коляски;"Baby Design Buggy";0;y.e.;"Нет в наличии";http://127.0.0.1/product/baby-design-buggy
Коляски;"Baby Design Elf";90;y.e.;"Наличие уточняйте";http://127.0.0.1/product/baby-design-elf
